"Path ID","Unique ID","Rule ID","Left","Right"
"0","TRS_0_4_6_0","RR-02-19b55fc4074ea7a7-16-F","1.CMPD_0000000006","1.CMPD_0000000005"
"0","TRS_0_3_0_0","RR-02-e755f7aa50a43754-16-F","1.CMPD_0000000005:1.CMPD_0000000009","1.CMPD_0000000004"
"0","TRS_0_2_2_0","RR-02-11ab7ca3127c03da-16-F","1.CMPD_0000000004","1.CMPD_0000000003"
"0","TRS_0_1_21_0","RR-02-5df51fe2f404b5b1-16-F","1.CMPD_0000000003:1.CMPD_0000000008","1.CMPD_0000000002"
"0","TRS_0_0_5_0","RR-02-be9b8e4f3b4a5079-16-F","1.CMPD_0000000002:1.CMPD_0000000007","1.TARGET_0000000001"
"1","TRS_0_4_6_0","RR-02-19b55fc4074ea7a7-16-F","1.CMPD_0000000006","1.CMPD_0000000005"
"1","TRS_0_3_0_0","RR-02-e755f7aa50a43754-16-F","1.CMPD_0000000005:1.CMPD_0000000009","1.CMPD_0000000004"
"1","TRS_0_2_4_0","RR-02-18c69fc67a4564e4-16-F","1.CMPD_0000000004","1.CMPD_0000000003"
"1","TRS_0_1_21_0","RR-02-5df51fe2f404b5b1-16-F","1.CMPD_0000000003:1.CMPD_0000000008","1.CMPD_0000000002"
"1","TRS_0_0_5_0","RR-02-be9b8e4f3b4a5079-16-F","1.CMPD_0000000002:1.CMPD_0000000007","1.TARGET_0000000001"
