ID,Name,SMILES,ECOLI
0,Methylmalonyl-coa,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,True
1,Benzoate,O=C(O)c1ccccc1,False
2,3-methylbenzoate,Cc1cccc(C(=O)O)c1,False
3,2-methylbenzoate,Cc1ccccc1C(=O)O,False
4,4-methylbenzoate,Cc1ccc(C(=O)O)cc1,False
5,Salicylic acid,O=C(O)c1ccccc1O,False
6,Aspirin,CC(=O)Oc1ccccc1C(=O)O,False
7,Malonyl-coa,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O,True
8,Quinic acid,O=C(O)C1(O)CC(O)C(O)C(O)C1,False
9,Mevalonate,CC(O)(CCO)CC(=O)O,False
10,Cai-1,CCCCCCCCCC(=O)[C@@H](O)CC,False
11,Phenylalanine,NC(Cc1ccccc1)C(=O)O,True
12,Tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O,True
13,Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,True
14,Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,False
15,Putrescine,NCCCCN,True
16,Cadaverine,NCCCCCN,True
17,3-chlorobenzoate,O=C(O)c1cccc(Cl)c1,False
18,"2,3-dimethylbenzoate",Cc1cccc(C(=O)O)c1C,False
19,3-bromobenzoate,O=C(O)c1cccc(Br)c1,False
20,"3,4-dimethylbenzoate",Cc1ccc(C(=O)O)cc1C,False
21,2-chlorobenzoate,O=C(O)c1ccccc1Cl,False
22,"3,4-dichlorobenzoate",O=C(O)c1ccc(Cl)c(Cl)c1,False
23,Phenol,Oc1ccccc1,False
24,"2-chloro-cis,cis-muconate",O=C(O)/C=C\C=C(\Cl)C(=O)O,False
25,"3,4-dimethylphenol",Cc1ccc(O)cc1C,False
26,2-hydroxytoluene,Cc1ccccc1O,False
27,3-hydroxytoluene,Cc1cccc(O)c1,False
28,4-hydroxytoluene,Cc1ccc(O)cc1,False
29,Chlorohydroquinone,Oc1ccc(O)c(Cl)c1,False
30,"2,6-dichlorohydroquinone(dich)",Oc1cc(Cl)c(O)c(Cl)c1,False
31,"2,5-dichlorohydroquinone",Oc1cc(Cl)c(O)cc1Cl,False
32,Atp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,True
33,4-nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,False
34,M-xylene,Cc1cccc(C)c1,False
35,3-methylbenzylalcohol,Cc1cccc(CO)c1,False
36,2-nitrotoluene,Cc1ccccc1[N+](=O)[O-],False
37,P-xylene,Cc1ccc(C)cc1,False
38,Toluene,Cc1ccccc1,False
39,M-amino-nitrotoluene,Cc1ccc(N)cc1N,False
40,4-chlorobenzaldehyde,O=Cc1ccc(Cl)cc1,False
41,Benzene,c1ccccc1,False
42,O-xylene,Cc1ccccc1C,False
43,"1,1,2-trichloroethylene",ClC=C(Cl)Cl,False
44,Ethylbenzene,CCc1ccccc1,False
45,P-cumate,CC(C)c1ccc(C(=O)O)cc1,False
46,"Cis,cis-muconate",O=C(O)C=CC=CC(=O)O,False
47,"2,2-dihydroxybiphenyl'",Oc1ccccc1-c1ccccc1O,False
48,2-hydroxydiphenylmethane,Oc1ccccc1Cc1ccccc1,False
49,2-hydroxybiphenyl,Oc1ccccc1-c1ccccc1,False
50,2-aminobiphenyl,Nc1ccccc1-c1ccccc1,False
51,3-(3-hydroxyphenyl)propinoic_acid,O=C(O)CCc1cccc(O)c1,True
52,P-cymene,Cc1ccc(C(C)C)cc1,False
53,Naphthalene,c1ccc2ccccc2c1,False
54,4-hydroxyphenylacetate,O=C(O)Cc1ccc(O)cc1,False
55,3-hydroxyphenylacetate,O=C(O)Cc1cccc(O)c1,False
56,"3,4-dihydroxyphenylacetate",O=C(O)Cc1ccc(O)c(O)c1,False
57,Benzylpropionate,CCC(=O)OCc1ccccc1,False
58,4-hydroxybenzylacetate,CC(=O)OCc1ccc(O)cc1,False
59,2-hydroxybenzylacetate,CC(=O)OCc1ccccc1O,False
60,Benzylacetate,O=C(O)CCc1ccccc1,True
61,Benzaldehyde,O=Cc1ccccc1,False
62,Benzylbutyrate,CCCC(=O)OCc1ccccc1,False
63,Benzylalcohol,OCc1ccccc1,False
64,"3,4-dihydroxybenzoate",O=C(O)c1ccc(O)c(O)c1,False
