Inter ID,InChI,Smile
Inter_0000000000,"InChI=1S/C14H26N2O10/c1-4(19)16-8-11(22)9(20)5(2-17)25-14(8)26-12-6(3-18)24-13(23)7(15)10(12)21/h5-14,17-18,20-23H,2-3,15H2,1H3,(H,16,19)/t5-,6-,7-,8-,9-,10-,11-,12-,13?,14+/m1/s1",CC(O)=N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](N)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O
Inter_0000000001,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-7,10H,8H2",
Inter_0000000002,"InChI=1S/C27H35N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,32,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H2,33,34,42,43)",Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc(O)nc(O)c1N2
Inter_0000000003,"InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H5,28,29,30,34,42,43,44,45,46,47)/p+1",Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC([n+]4c[nH]c5c(N)ncnc54)C(O)C3O)c2cc1C
Inter_0000000004,"InChI=1S/C7H13N3O3/c1-4(5(11)6(12)13)2-3-10-7(8)9/h4H,2-3H2,1H3,(H,12,13)(H4,8,9,10)",CC(CCNC(=N)N)C(=O)C(=O)O
Inter_0000000005,"InChI=1S/C10H9NO5/c11-9-5(2-1-3-6(9)12)7(13)4-8(14)10(15)16/h1-3,12H,4,11H2,(H,15,16)",Nc1c(O)cccc1C(=O)CC(=O)C(=O)O
Inter_0000000006,"InChI=1S/C25H40N7O20P3S/c1-25(2,19(37)22(38)28-4-3-14(34)27-5-6-56-15(35)7-12(33)24(39)40)9-49-55(46,47)52-54(44,45)48-8-13-18(51-53(41,42)43)17(36)23(50-13)32-11-31-16-20(26)29-10-30-21(16)32/h10-13,17-19,23,33,36-37H,3-9H2,1-2H3,(H,27,34)(H,28,38)(H,39,40)(H,44,45)(H,46,47)(H2,26,29,30)(H2,41,42,43)",CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(O)C(=O)O
Inter_0000000007,"InChI=1S/C6H11NO3/c7-4-2-1-3-5(8)6(9)10/h1-4,7H2,(H,9,10)",NCCCCC(=O)C(=O)O
Inter_0000000008,"InChI=1S/C6H11NO3/c7-5(6(9)10)3-1-2-4-8/h4-5H,1-3,7H2,(H,9,10)",NC(CCCC=O)C(=O)O
Inter_0000000009,"InChI=1S/C21H42NO7P/c1-19(22)21(24)15-13-11-9-7-5-3-2-4-6-8-10-12-14-16-28-17-20(23)18-29-30(25,26)27/h19H,2-18,22H2,1H3,(H2,25,26,27)",CC(N)C(=O)CCCCCCCCCCCCCCCOCC(=O)COP(=O)(O)O
