ID,Nombre,SMILES,MNX_ID,InChI,Pathway1,Pathway2,Pathway3,Pathway4,Pathway5,engineered pathway,PMID1,KEGG_ID
0,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,MNXM1104180,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,,,,,,,
1,Galactose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,MNXM1108176,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1",,,,,,,,
2,Arabinose,OC1OC[C@H](O)[C@H](O)[C@H]1O,MNXM461,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,,,,,,,
3,Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,MNXM7381,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1  ",,,,,,,,
4,Fructose,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,MNXM729613,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",,,,,,,,
5,Xylose,OC1OC[C@@H](O)[C@H](O)[C@H]1O,MNXM169454,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5?/m1/s1  ",,,,,,,,
6,D-Glucaric acid,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,MNXM1107695,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2-,3-,4+/m0/s1 ",,,,,,,,
7,Adipic acid,O=C(O)CCCCC(=O)O,MNXM2800,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)  ",MNXM3002:MNXR107392:MNXM835:MNXR107393:MNXM2682:MNXR108397:MNXM1994:MNXR109454:MNXM831:MNXR109317:MNXM2800,MNXM4223:MNXR108178:MNXM2137:MNXR95638:MNXM2339:MNXR109643:MNXM831:MNXR109317:MNXM2800,MNXM8579:MNXR109507:MNXM2339:MNXR109643:MNXM831:MNXR109317:MNXM2800,,,,,
8,Furfuryl alcohol,OCc1ccco1,MNXM54041,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2",,,,,,,,
9,UDP-Glucose,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,MNXM739639,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1 ",,,,,,,,
10,Furfural,O=Cc1ccco1,MNXM54039,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H  ,,,,,,,,
11,Dienediol,OC=C1C=CC(O)(CO)O1,,,,,,,,,,
12,3-Ketoglucose,O=C1[C@@H](O)C(O)O[C@H](CO)[C@H]1O,,,,,,,,,,
13,Xylitol,OC[C@@H](O)[C@H](O)[C@@H](O)CO,MNXM737068,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+",MNXM734574:MNXR146762:MNXM737068,,,,,,,
14,"D-Xylono-1,4-lactone",O=C1O[C@H](CO)[C@H](O)[C@H]1O,MNXM4559,"InChI=1S/C5H8O5/c6-1-2-3(7)4(8)5(9)10-2/h2-4,6-8H,1H2/t2-,3+,4-/m1/s1",MNXM734574:MNXR106988:MNXM4559,,,,,,,
15,"2,5-Bis-(hydroxymethyl)-furan",OCc1ccc(CO)o1,MNXM9777,"InChI=1S/C6H8O3/c7-3-5-1-2-6(4-8)9-5/h1-2,7-8H,3-4H2 ",,,,,,,,
16,UDP-Rhamnose,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(O)nc3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,MNXM739257,"InChI=1S/C15H24N2O16P2/c1-5-8(19)10(21)12(23)14(30-5)32-35(27,28)33-34(25,26)29-4-6-9(20)11(22)13(31-6)17-3-2-7(18)16-15(17)24/h2-3,5-6,8-14,19-23H,4H2,1H3,(H,25,26)(H,27,28)(H,16,18,24)/p-2/t5-,6+,8-,9+,10+,11+,12+,13+,14+/m0/s1",,,,,,,,
17,5-Chloromethylfurfural,O=Cc1ccc(CCl)o1,,"InChI=1S/C6H5ClO2/c7-3-5-1-2-6(4-8)9-5/h1-2,4H,3H2",,,,,,,,
18,Naringenin 4'-O-glucoside,O=C1C[C@@H](C2=CC=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C2)OC2=C1C(O)=CC(O)=C2,MNXM64243,"InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-3-1-9(2-4-11)14-7-13(25)17-12(24)5-10(23)6-15(17)30-14/h1-6,14,16,18-24,26-28H,7-8H2/t14?,16-,18-,19+,20-,21-/m1/s1",MNXM731284:MNXR144168:MNXM739639:MNXR143637:MNXM64243,,,,,,,
19,5-Hydroxymethylfurfural,O=Cc1ccc(CO)o1,MNXM10320,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2 ",,,,,,,,
20,"2,5-Furandicarboxylic acid",O=C(O)c1ccc(C(=O)O)o1,MNXM34581,"InChI=1S/C6H4O5/c7-5(8)3-1-2-4(11-3)6(9)10/h1-2H,(H,7,8)(H,9,10)",,,,,,,,
21,Kojic acid,O=c1cc(CO)occ1O,MNXM59152,"InChI=1S/C6H6O4/c7-2-4-1-5(8)6(9)3-10-4/h1,3,7,9H,2H2",,,,,,,,
22,D-Xylonic acid,O=C(O)[C@H](O)[C@@H](O)[C@H](O)CO,MNXM1105052,"InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)/p-1/t2-,3+,4-/m1/s1",MNXM734574:MNXR106988:MNXM4559:MNXR147658:MNXM1105052,,,,,,,
23,Glycolic acid,O=C(O)CO,MNXM222,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)/p-1",MNXM734574:MNXR106988:MNXM4559:MNXR147658:MNXM110552:MNXR147660:MNXM727325:MNXR147418:MNXM6923:MNXR100060:MNXM222,MNXM734590:MNXR100060:MNXM222,MNXM1468:MNXR109458:MNXM222,MNXM11726:MNXR123397:MNXM222,MNXM2074:MNXR102543:MNXM222,,,
24,Terphthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",,,,,,,,
25,Tricabonyl intermediate,CC(=O)C=CC(=O)C=O,,,,,,,,,,
26,"Dimethyl 2,5-furandicarboxylic acid",Cc1c(C(=O)O)oc(C(=O)O)c1C,,"InChI=1S/C8H8O5/c1-3-4(2)6(8(11)12)13-5(3)7(9)10/h1-2H3,(H,9,10)(H,11,12) ",,,,,,,,
27,Ethylene glycol,OCCO,MNXM1107139,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",MNXM46:MNXR190844:MNXM1107753:MNXR154367:MNXM1092518:MNXR191427:MNXM89661:MNXR191123:MNXM69:MNXR100338:MNXM222:MNXR100060:MNXM734590:MNXR107167:MNXM1107139,MNXM734573:MNXR118487:MNXM1105052:MNXR147660:MNXM727325:MNXR147417:MNXM734590:MNXR118488:MNXM1107139,,,,,,
28,Quercetin 7-O-rhamnoside,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,MNXM160727,"InChI=1S/C21H20O11/c1-7-15(25)17(27)19(29)21(30-7)31-9-5-12(24)14-13(6-9)32-20(18(28)16(14)26)8-2-3-10(22)11(23)4-8/h2-7,15,17,19,21-25,27-29H,1H3/t7-,15-,17+,19+,21-/m0/s1",MNXM731284:MNXR144168:MNXM739639:MNXR152275:MNXM733484:MNXR150391:MNXM731133:MNXR151193:MNXM1104675:MNXR122209:MNXM160727,,,,,,,
29,Levulinic acid,CC(=O)CCC(=O)[O-],MNXM37702,"InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)/p-1",,,,,,,,
30,4-Hydroxyvaleric acid,CC(O)CCC(=O)O,,"InChI=1S/C5H10O3/c1-4(6)2-3-5(7)8/h4,6H,2-3H2,1H3,(H,7,8)",,,,,,,,
31,"1,2,4-Butanetriol",OCCC(O)CO,MNXM149923,"InChI=1S/C4H10O3/c5-2-1-4(7)3-6/h4-7H,1-3H2",,,,,,,,
32,"1,4-Butanediol",OCCCCO,MNXM16407,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",,,,,,,,
33,Beta-Angelica lactone,CC1C=CC(=O)O1,MNXM735617,"InChI=1S/C5H6O2/c1-4-2-3-5(6)7-4/h2-4H,1H3",,,,,,,,
34,4-Valerolactone,CC1CCC(=O)O1,MNXM733968,"InChI=1S/C5H8O2/c1-4-2-3-5(6)7-4/h4H,2-3H2,1H3",,,,,,,,
35,3-Hydroxytetrahydrofuran,C1COCC1O,,"InChI=1S/C4H8O2/c5-4-1-2-6-3-4/h4-5H,1-3H2 ",,,,,,,,
36,Fosamprenavir,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,MNXM53829,"InChI=1S/C25H36N3O9PS/c1-18(2)15-28(39(33,34)22-10-8-20(26)9-11-22)16-24(37-38(30,31)32)23(14-19-6-4-3-5-7-19)27-25(29)36-21-12-13-35-17-21/h3-11,18,21,23-24H,12-17,26H2,1-2H3,(H,27,29)(H2,30,31,32)/t21-,23-,24+/m0/s1",,,,,,,,
37,"3,4-Epoxytetrahydrofuran",C1C2C(O2)CO1,,"InChI=1S/C4H6O2/c1-3-4(6-3)2-5-1/h3-4H,1-2H2",,,,,,,,
38,trans-4-Amino-3-hydroxytetrahydrofuran,C1C(C(CO1)O)N.C1C(C(CO1)O)N.Cl.Cl  ,,"InChI=1S/2C4H9NO2.2ClH/c2*5-3-1-7-2-4(3)6;;/h2*3-4,6H,1-2,5H2;2*1H ",,,,,,,,
39,Phenol,Oc1ccccc1,MNXM320,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",MNXM258:MNXR97218:MNXM1219:MNXR153355:MNXM736875:MNXR153360:MNXM611:MNXR104378:MNXM602:MNXR104379:MNXM1265:MNXR103226:MNXM1365:MNXR96709:MNXM337:MNXR153201:MNXM737313:MNXR146104:MNXM153:MNXR105000:MNXM76:MNXR106655:MNXM320,MNXM1651:MNXR113427:MNXM320,,,,,,
40,Diphenolic acid,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,MNXM51151,"InChI=1S/C17H18O4/c1-17(11-10-16(20)21,12-2-6-14(18)7-3-12)13-4-8-15(19)9-5-13/h2-9,18-19H,10-11H2,1H3,(H,20,21)",,,,,,,,
41,Bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,MNXM2643,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",MNXM9942:MNXR110604:MNXM6768:MNXR110605:MNXM6769:MNXR110606:MNXM6831:MNXR110607:MNXM2643,,,,,,,
42,Propanol,CCCO,MNXM6396,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",MNXM23:MNXR180219:MNXM733758:MNXR147311:MNXM726793:MNXR145414:MNXM1104673:MNXR102415:MNXM1106156:MNXR101664:MNXM821:MNXR95727:MNXM6396,MNXM1108206:MNXR96085:MNXM1177:MNXR96039:MNXM361:MNXR100735:MNXM353:MNXR100737:MNXM1334:MNXR104846:MNXM142:MNXR104714:MNXM159:MNXR147113:MNXM1499:MNXR95897:MNXM356:MNXR95221:MNXM1106156:MNXR101664:MNXM821:MNXR95727:MNXM6396,MNXM77:MNXR101551:MNXM310:MNXR114036:MNXM1744:MNXR114035:MNXM1118:MNXR107474:MNXM821:MNXR95727:MNXM6396,MNXM77:MNXR101551:MNXM310:MNXR145409:MNXM732880:MNXR107413:MNXM1118:MNXR107474:MNXM821:MNXR95727:MNXM6396,,,,
43,Methylacrylate,COC(=O)C=C,,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3",,,,,,,,
44,4-Hydroxy-2-oxohexanoic acid,CC[C@H](O)CC(=O)C(=O)[O-],MNXM728765,"InChI=1S/C6H10O4/c1-2-4(7)3-5(8)6(9)10/h4,7H,2-3H2,1H3,(H,9,10)/p-1/t4-/m0/s1",MNXM77:MNXR101551:MNXM310:MNXR95788:MNXM1744:MNXR100326:MNXM1118:MNXR103104:MNXM821:MNXR145232:MNXM728765,MNXM77:MNXR101551:MNXM310:MNXR152942:MNXM732881:MNXR95713:MNXM1118:MNXR103104:MNXM821:MNXR145232:MNXM728765,MNXM3685:MNXR146190:MNXM3500:MNXR95030:MNXM4077:MNXR105209:MNXM3331:MNXR103333:MNXM3734:MNXR151547:MNXM731896:MNXR95032:MNXM2927:MNXR151702:MNXM1103979:MNXR192007:MNXM728765,,,,,
45,Acrylic acid,C=CC(=O)[O-],MNXM728199,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)/p-1",MNXM1104266:MNXR188441:MNXM244:MNXR94902:MNXM872:MNXR190438:MNXM1103908:MNXR188239:MNXM1104673:MNXR119750:MNXM1106156:MNXR106755:MNXM1094052:kegg_R13136:MNXM728199,MNXM2864:MNXR107589:MNXM728199,MNXM3208:MNXR95816:MNXM728199,MNXM732935:MNXR109565:MNXM733765:MNXR109505:MNXM6850:MNXR109552:MNXM30800:MNXR109513:MNXM728199,,,,
46,Adiponitrile,C(CCC#N)CC#N,,InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,,,,,,,,
47,Methyl aminolevulinate,COC(=O)CCC(=O)CN,MNXM106612,"InChI=1S/C6H11NO3/c1-10-6(9)3-2-5(8)4-7/h2-4,7H2,1H3 ",,,,,,,,
48,"4,5-Dioxopentanoate",O=CC(=O)CCC(=O)[O-],MNXM4353,"InChI=1S/C5H6O4/c6-3-4(7)1-2-5(8)9/h3H,1-2H2,(H,8,9)/p-1",MNXM727604:MNXR102527:MNXM541:MNXR103225:MNXM379:MNXR103260:MNXM737787:MNXR100142:MNXM29:MNXR95695:MNXM405:MNXR107421:MNXM4353,,,,,,,
49,3-Hydroxypropionic acid,O=C(O)CCO,MNXM872,"InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)/p-1",MNXM158:MNXR150697:MNXM4213:MNXR146719:MNXM3415:MNXR94854:MNXM244:MNXR101737:MNXM872,MNXM144:MNXR95862:MNXM244:MNXR101737:MNXM872,MNXM1106156:MNXR119750:MNXM1104673:MNXR188239:MNXM1103908:MNXR190438:MNXM872,,,,,
50,Acrylonitrile,C=CC#N,MNXM4430,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",,,,,,,,
51,Malonic acid,O=C(O)CC(=O)O,MNXM730881,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)/p-2",MNXM144:MNXR95865:MNXM244:MNXR107084:MNXM730881,MNXM158:MNXR191810:MNXM1105973:MNXR192096:MNXM1891:MNXR111231:MNXM730881,,,,,,
