ID,Name,Smiles
WATER,Water,O
MNXM1108018,Hydrogen,[H][H]
MNXM732620,Hydrogen peroxide,OO
MNXM729302,NH4(+),N
MNXM735438,O2,O=O
MNXM1,H+,[H+]
MNXM13,CO2,O=C=O
MNXM3,ATP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
MNXM9,Phosphate,O=P(O)(O)O
MNXM40333,ADP,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
,,O=P(O)(O)OP(=O)(O)O
MNXM20,2-oxoglutarate,O=C(O)CCC(=O)C(=O)O
MNXM741173,L-glutamate,NC(CCC(=O)O)C(=O)O
MNXM23,Pyruvate,CC(=O)C(=O)O
,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
MNXM25,Succinate,O=C(O)CCC(=O)O
MNXM26,Acetate,CC(=O)O
,,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
,,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
,,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
MNXM5,NADP(+),NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
MNXM738702,NADPH,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1
MNXM8,NAD(+),NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
MNXM10,NADH,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1
MNXM727276,CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
MNXM1104702,UDP-alpha-D-glucose,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
MNXM1104266,Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
MNXM1102128,UDP,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
MNXM1102128,UDP,O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
MNXM735978,Chloride,[Cl-]
MNXM740736,Bromide,[Br-]
